0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0.001,0,0.014,0,0,0,0.02,0.013,0,0.027
8,0.008,0.049,0.058,0.059,0.011,0.085,0.037,0.06,0.049,0
9,0.002,0,0.042,0,0,0,0,0,0,0.015
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0.045,0,0.002,0,0.016,0,0.004,0
12,0,0.006,0,0.042,0.035,0.187,0,0,0.056,0.041
13,0,0.08,0.066,0.097,0.086,0,0.034,0.054,0.036,0.025
14,0.151,0.038,0.092,0.181,0.015,0.008,0.02,0.098,0.087,0.071
15,0.183,0.124,0.237,0.317,0.255,0.403,0.136,0.095,0.379,0.254
16,6.011,3.423,2.138,1.592,1.283,0.939,0.35,0.5,0.522,0.264
17,5.084,3.419,3.301,1.637,1.093,0.58,0.658,0.126,0.369,0.48
18,3.979,3.696,3.71,1.813,1.062,0.989,0.608,0.832,0.327,0.588
19,2.714,2.712,3.14,2.236,1.489,1.013,0.733,0.784,0.481,0.973
20,2.552,2.737,2.363,1.854,1.825,0.864,0.731,0.856,0.574,0.888
21,2.501,1.963,1.84,2.1,2.232,1.268,1.056,0.737,0.742,0.525
22,3.319,1.937,1.92,1.948,2.047,0.871,1.182,0.725,0.81,0.707
23,4.02,2.199,1.938,1.66,1.183,0.939,1.128,0.595,0.893,0.807
24,4.603,2.515,2.342,1.677,1.33,1.296,1.403,1.022,1.051,0.679
25,4.916,2.567,2.296,1.183,1.225,1.303,1.024,1.206,1.006,1.013
26,4.884,3.091,2.21,1.269,1.104,1.541,1.162,0.676,0.947,0.827
27,5.382,3.465,2.412,1.896,1.087,1.395,0.866,0.851,0.571,0.933
28,5.562,3.807,2.432,1.494,1.323,1.306,1.002,0.715,0.845,1.309
29,4.962,3.448,2.321,1.792,1.552,1.069,0.946,0.848,0.985,0.906
30,5.515,3.463,2.71,2.524,1.464,0.997,1.165,0.98,0.675,0.708
31,4.948,3.98,3.073,2.594,1.741,0.886,1.409,1.349,0.85,1.049
32,5.542,4.351,3.075,2.904,1.393,1.305,1.342,0.926,1.355,1.203
33,5.268,4.031,3.318,2.891,2.078,1.523,1.269,1.061,0.796,0.968
34,5.289,4.256,3.702,2.84,2.805,1.596,1.331,1.009,0.682,0.758
35,6.127,4.6,3.789,2.671,2.848,1.718,1.255,1.135,1.086,0.957
